condition,Klrk1-201,Klrk1-202,Klrk1-203,Klrk1-204,Klrk1-205,Klrk1-206,total_klrk1,RI_pct,Klrk1_203_pct
Healthy_CD4_Naive,0.0,0.0,0.0,0.31892149999999997,0.2243455,0.21653550000000002,0.7598024999999999,69.64822760824194,0.0
GVHD_CD4_Tn,1.416155,0.0,0.269816,0.068681,0.722357,0.064914,2.541923,15.870307637170756,10.614640962767165
GVHD_CD4_Tem,23.652120999999998,0.532098,6.883313666666666,4.707461666666667,11.371926666666667,2.0902166666666666,49.23713766666666,28.03431343594254,14.124355145160258
Healthy_CD8_Naive_6wk,0.0,0.0,0.0,7.668540999999999,5.846728,1.4967385000000002,15.0120075,59.13189936634504,0.0
Healthy_CD8_Naive_7wk,184.843083,0.0,49.594285,20.7614745,50.227851,6.2687764999999995,311.69547,24.41957305810574,15.644682154643892
CD8_Naive_alt,0.0,1.292153,0.0,5.310549,2.840143,1.1205155,10.5633605,60.97399826570213,0.0
CD8_MPEC,144.0783965,2.167299,31.285921,16.784726,44.551391,5.4596595,244.327393,21.65177191547498,12.753399805736148
CD8_Tcm,230.52182950000002,0.0,90.6320675,55.263585500000005,84.83438100000001,17.6166975,478.868561,34.12158543044097,18.890844046227045
CD8_Effector_SLEC,330.498319,0.0,144.391667,71.355192,122.618437,22.318209,691.181824,34.44318987184478,20.89054746323885
