sample_id,condition,transcript_id,isoform,biotype,TPM,total_klrk1,proportion
Arm_D4.5_EarlyEff_1,Arm_D4.5_EarlyEffector,ENSMUST00000204694,Klrk1-206,retained_intron,1.741863,140.17473999999999,1.2426368688110285
Arm_D4.5_EarlyEff_2,Arm_D4.5_EarlyEffector,ENSMUST00000032252,Klrk1-201,protein_coding,97.832465,139.184869,70.28958370467699
Arm_D4.5_EarlyEff_2,Arm_D4.5_EarlyEffector,ENSMUST00000095412,Klrk1-202,protein_coding,11.320731,139.184869,8.133593170964582
Arm_D4.5_EarlyEff_2,Arm_D4.5_EarlyEffector,ENSMUST00000168919,Klrk1-205,protein_coding,21.012617,139.184869,15.096911863314682
Arm_D4.5_EarlyEff_2,Arm_D4.5_EarlyEffector,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,139.184869,0.0
Arm_D4.5_EarlyEff_2,Arm_D4.5_EarlyEffector,ENSMUST00000152256,Klrk1-204,retained_intron,7.636231,139.184869,5.486394501689692
Arm_D4.5_EarlyEff_2,Arm_D4.5_EarlyEffector,ENSMUST00000204694,Klrk1-206,retained_intron,1.382825,139.184869,0.9935167593540646
Arm_D4.5_EarlyEff_3,Arm_D4.5_EarlyEffector,ENSMUST00000032252,Klrk1-201,protein_coding,83.595676,149.36972,55.96561070074979
Arm_D4.5_EarlyEff_3,Arm_D4.5_EarlyEffector,ENSMUST00000095412,Klrk1-202,protein_coding,35.395751,149.36972,23.6967378662824
Arm_D4.5_EarlyEff_3,Arm_D4.5_EarlyEffector,ENSMUST00000168919,Klrk1-205,protein_coding,20.443295,149.36972,13.686371642123984
Arm_D4.5_EarlyEff_3,Arm_D4.5_EarlyEffector,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,149.36972,0.0
Arm_D4.5_EarlyEff_3,Arm_D4.5_EarlyEffector,ENSMUST00000152256,Klrk1-204,retained_intron,8.102869,149.36972,5.424706560339003
Arm_D4.5_EarlyEff_3,Arm_D4.5_EarlyEffector,ENSMUST00000204694,Klrk1-206,retained_intron,1.832129,149.36972,1.2265732305048171
Arm_D7_SLEC_1,Arm_D7_SLEC,ENSMUST00000032252,Klrk1-201,protein_coding,161.412251,285.336217,56.569142430314066
Arm_D7_SLEC_1,Arm_D7_SLEC,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,285.336217,0.0
Arm_D7_SLEC_1,Arm_D7_SLEC,ENSMUST00000168919,Klrk1-205,protein_coding,68.013488,285.336217,23.836261907124115
Arm_D7_SLEC_1,Arm_D7_SLEC,ENSMUST00000137660,Klrk1-203,retained_intron,24.631512,285.336217,8.63245201011409
Arm_D7_SLEC_1,Arm_D7_SLEC,ENSMUST00000152256,Klrk1-204,retained_intron,27.937546,285.336217,9.791097076190649
Arm_D7_SLEC_1,Arm_D7_SLEC,ENSMUST00000204694,Klrk1-206,retained_intron,3.34142,285.336217,1.1710465762570896
Arm_D7_SLEC_2,Arm_D7_SLEC,ENSMUST00000032252,Klrk1-201,protein_coding,171.854005,292.267351,58.800274615689105
Arm_D7_SLEC_2,Arm_D7_SLEC,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,292.267351,0.0
Arm_D7_SLEC_2,Arm_D7_SLEC,ENSMUST00000168919,Klrk1-205,protein_coding,73.478085,292.267351,25.140709267933246
Arm_D7_SLEC_2,Arm_D7_SLEC,ENSMUST00000137660,Klrk1-203,retained_intron,16.670675,292.267351,5.703912853406605
Arm_D7_SLEC_2,Arm_D7_SLEC,ENSMUST00000152256,Klrk1-204,retained_intron,27.305835,292.267351,9.342759260167927
Arm_D7_SLEC_2,Arm_D7_SLEC,ENSMUST00000204694,Klrk1-206,retained_intron,2.958751,292.267351,1.0123440028031048
Arm_D7_SLEC_3,Arm_D7_SLEC,ENSMUST00000032252,Klrk1-201,protein_coding,147.557754,255.182724,57.82435099329059
Arm_D7_SLEC_3,Arm_D7_SLEC,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,255.182724,0.0
Arm_D7_SLEC_3,Arm_D7_SLEC,ENSMUST00000168919,Klrk1-205,protein_coding,63.343504,255.182724,24.822802659634593
Arm_D7_SLEC_3,Arm_D7_SLEC,ENSMUST00000137660,Klrk1-203,retained_intron,17.104945,255.182724,6.70301842220322
Arm_D7_SLEC_3,Arm_D7_SLEC,ENSMUST00000152256,Klrk1-204,retained_intron,25.090347,255.182724,9.832306281047458
Arm_D7_SLEC_3,Arm_D7_SLEC,ENSMUST00000204694,Klrk1-206,retained_intron,2.086174,255.182724,0.817521643824133
Arm_D7_MPEC_1,Arm_D7_MPEC,ENSMUST00000032252,Klrk1-201,protein_coding,151.188764,260.345588,58.072335760112814
Arm_D7_MPEC_1,Arm_D7_MPEC,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,260.345588,0.0
Arm_D7_MPEC_1,Arm_D7_MPEC,ENSMUST00000168919,Klrk1-205,protein_coding,63.190787,260.345588,24.271887027330763
Arm_D7_MPEC_1,Arm_D7_MPEC,ENSMUST00000137660,Klrk1-203,retained_intron,16.211486,260.345588,6.226910209824642
Arm_D7_MPEC_1,Arm_D7_MPEC,ENSMUST00000152256,Klrk1-204,retained_intron,27.120774,260.345588,10.417220513834865
Arm_D7_MPEC_1,Arm_D7_MPEC,ENSMUST00000204694,Klrk1-206,retained_intron,2.633777,260.345588,1.0116464888969041
Arm_D7_MPEC_2,Arm_D7_MPEC,ENSMUST00000032252,Klrk1-201,protein_coding,140.52334,256.227936,54.843098763438505
Arm_D7_MPEC_2,Arm_D7_MPEC,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,256.227936,0.0
Arm_D7_MPEC_2,Arm_D7_MPEC,ENSMUST00000168919,Klrk1-205,protein_coding,66.852382,256.227936,26.09098096157634
Arm_D7_MPEC_2,Arm_D7_MPEC,ENSMUST00000137660,Klrk1-203,retained_intron,20.151317,256.227936,7.8646057547760915
Arm_D7_MPEC_2,Arm_D7_MPEC,ENSMUST00000152256,Klrk1-204,retained_intron,25.999398,256.227936,10.14698022623107
Arm_D7_MPEC_2,Arm_D7_MPEC,ENSMUST00000204694,Klrk1-206,retained_intron,2.701499,256.227936,1.0543342939779994
