sample,gene,ri_tpm,total_gene_tpm,ri_pct
Arm_D4.5_EarlyEff_1,Actb,16.924081,12071.558687,0.14019797640735274
Arm_D4.5_EarlyEff_1,Gapdh,18.959168,4150.0046489999995,0.45684690990812427
Arm_D4.5_EarlyEff_1,Klrk1,7.4748920000000005,140.17473999999996,5.332552783761185
Arm_D4.5_EarlyEff_2,Actb,18.902177000000002,11876.670748,0.15915383528825264
Arm_D4.5_EarlyEff_2,Gapdh,19.585718,4152.497486,0.4716611645409193
Arm_D4.5_EarlyEff_2,Klrk1,9.019056,139.184869,6.479911261043757
Arm_D4.5_EarlyEff_3,Actb,20.518374,12370.360646000001,0.16586722559810482
Arm_D4.5_EarlyEff_3,Gapdh,19.710862,3776.9595850000005,0.5218711388461943
Arm_D4.5_EarlyEff_3,Klrk1,9.934998,149.36972,6.6512797908438195
Arm_D7_MPEC_1,Actb,66.07180699999999,5943.429123000002,1.1116782186282659
Arm_D7_MPEC_1,Gapdh,21.25348,1211.811589,1.753860104402748
Arm_D7_MPEC_1,Klrk1,45.96603700000001,260.345588,17.655777212556416
Arm_D7_MPEC_2,Actb,61.712560999999994,5262.1594110000005,1.1727611457569351
Arm_D7_MPEC_2,Gapdh,26.217919,1144.6946670000002,2.2903853539137695
Arm_D7_MPEC_2,Klrk1,48.852214,256.227936,19.06592027498516
Arm_D7_MPEC_3,Actb,62.59257,5767.302801,1.0853005670024296
Arm_D7_MPEC_3,Gapdh,22.341515,1181.9857869999998,1.8901678214511393
Arm_D7_MPEC_3,Klrk1,38.426582999999994,228.002044,16.85361338251862
Arm_D7_SLEC_1,Actb,63.409639,6816.063059,0.9302971297525374
Arm_D7_SLEC_1,Gapdh,21.980749,1191.097284,1.8454201260692322
Arm_D7_SLEC_1,Klrk1,55.910478,285.33621700000003,19.594595662561822
Arm_D7_SLEC_2,Actb,66.928628,7272.343956,0.9203171412812643
Arm_D7_SLEC_2,Gapdh,22.523573999999996,1317.0630949999997,1.7101362938121047
Arm_D7_SLEC_2,Klrk1,46.935261,292.267351,16.059016116377638
Arm_D7_SLEC_3,Actb,59.772841,7265.67201,0.8226746392863941
Arm_D7_SLEC_3,Gapdh,25.933863,1289.733298,2.010792699561673
