gene,n_samples,mean_total_gene_tpm,sd_total_gene_tpm,mean_RI_tpm,max_RI_tpm,n_samples_RI_above_1,n_samples_RI_above_5,mean_RI_pct,sd_RI_pct
Actb,50,6985.40163852,4877.341213962084,29.60119054,99.014394,45,41,0.508552764849348,0.41350635662897184
Gapdh,50,1259.6556820399999,1070.3783991957082,36.448457860000005,282.87478,47,39,3.526047862848253,5.428011173267179
Klrk1,50,154.65926248,147.69655035334634,29.896703520000003,238.06506800000002,44,38,24.210428234252586,21.205317366034393
